"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-01-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"36","강원특별자치도 태백시 황지동","621-277","0621","0277","선명5차","59.5139","202201","31","9,700","-","3","-","-","2001","장수길 47","-","직거래","-","-"
"37","강원특별자치도 횡성군 횡성읍 읍하리","518","0518","0000","대동황토방","84.9300","202201","31","16,000","-","7","-","-","1998","삼일로 50","-","중개거래","강원 횡성군","-"
"38","경상북도 포항시 남구 대잠동","1036","1036","0000","포항자이아파트","84.9388","202201","31","53,000","-","30","-","-","2018","상도남로 11","-","중개거래","경북 포항남구","-"
"39","경상남도 창원시 성산구 대방동","358","0358","0000","대동","49.9400","202201","31","17,000","-","8","-","-","1992","대정로 142","20220421","중개거래","경남 창원성산구","-"
"40","전북특별자치도 전주시 완산구 평화동1가","445-6","0445","0006","평화주공1,2","38.6400","202201","31","5,000","-","5","-","-","1992","덕적골2길 11","-","중개거래","전북 전주완산구","-"
"41","경상북도 김천시 지좌동","759-7","0759","0007","발트하임101동","59.8175","202201","31","11,200","-","2","-","-","2016","황산3길 45-17","-","중개거래","경북 김천시","-"
"42","전라남도 목포시 상동","1018","1018","0000","삼성","84.9300","202201","31","15,500","-","15","-","-","1995","부흥로 12","-","중개거래","전남 목포시","-"
"43","전북특별자치도 전주시 완산구 삼천동1가","705-6","0705","0006","광진궁전맨션","141.7900","202201","31","21,000","-","10","-","-","1992","장승배기로 145","-","중개거래","전북 전주완산구","-"
"44","전라남도 해남군 해남읍 구교리","1005","1005","0000","해남파크사이드아파트","58.8172","202201","31","21,000","-","9","-","-","2015","구교3길 36-23","20230307","중개거래","전남 해남군","-"
"45","충청남도 당진시 대덕동","1876","1876","0000","당진대덕수청시티프라디움1차","59.9764","202201","31","24,000","-","11","-","-","2020","대덕1로 102","-","중개거래","충남 당진시","-"
"46","강원특별자치도 인제군 북면 원통리","755-11","0755","0011","혜진2차","59.0300","202201","31","6,850","-","2","-","-","1997","원통로 97-1","-","직거래","-","-"
"47","전라남도 무안군 무안읍 교촌리","1039","1039","0000","광명샤인빌","84.9072","202201","31","14,900","-","13","-","-","2001","창포로 16","-","중개거래","전남 무안군","-"
"48","전라남도 해남군 해남읍 해리","305-2","0305","0002","금영","59.9700","202201","31","7,450","-","8","-","-","1992","동초길 70","-","직거래","-","-"
"49","경상북도 안동시 노하동","899","0899","0000","신안동역코아루미소지움","82.5267","202201","31","21,500","-","1","-","-","2018","노하길 142","-","직거래","-","-"
"50","충청남도 서산시 성연면 왕정리","719","0719","0000","이안서산테크노밸리","84.9767","202201","31","25,000","-","8","-","-","2015","성연3로 36","-","중개거래","충남 서산시","-"
"51","전라남도 순천시 해룡면 상삼리","693","0693","0000","금당그리안","59.7600","202201","31","11,400","-","4","-","-","1999","장선배기길 181","-","중개거래","전남 순천시","-"
"52","전라남도 나주시 남평읍 동사리","414","0414","0000","에스티엑스칸.중우하나린","59.9596","202201","31","15,500","-","26","-","-","2017","강변2길 20","-","직거래","-","-"
"53","전라남도 고흥군 고흥읍 남계리","717-1","0717","0001","대영베스트","80.6900","202201","31","16,000","-","4","-","-","2012","봉남봉동길 27","-","직거래","-","-"
"54","강원특별자치도 동해시 천곡동","802-1","0802","0001","유공타워","59.2560","202201","31","8,500","-","6","-","-","1996","천곡1길 3","-","중개거래","강원 동해시","-"
"55","강원특별자치도 철원군 동송읍 이평리","1554","1554","0000","금강아미움(101~107동)","84.9720","202201","31","26,800","-","7","-","-","2008","금학로201번길 9","-","직거래","-","-"
"56","경상남도 창원시 마산회원구 석전동","300","0300","0000","창원메트로시티석전","38.8280","202201","31","24,700","-","16","-","-","2019","석전남8길 40","-","중개거래","경남 창원마산회원구","-"
"57","전북특별자치도 군산시 대야면 지경리","699-147","0699","0147","한신타운","59.7300","202201","31","4,300","-","8","-","-","1992","대야관통로 26","-","중개거래","전북 군산시","-"
"58","전라남도 순천시 동외동","56-14","0056","0014","선미중앙하이츠","84.9300","202201","31","13,900","-","13","-","-","1993","성동3길 8","-","직거래","-","-"
"59","경상북도 김천시 율곡동","408","0408","0000","경북혁신케이씨씨스위첸","84.8400","202201","31","32,000","-","6","-","-","2013","혁신5로 11","-","중개거래","경북 김천시","-"
"60","경상남도 창원시 진해구 부흥동","1-11","0001","0011","대신한울","81.3600","202201","31","12,000","-","4","-","-","1994","백구로 14","-","중개거래","경남 창원진해구","-"
"61","경상남도 진주시 신안동","707-1","0707","0001","신안주공2","49.9700","202201","31","13,700","-","11","-","-","1996","신안들말길 47","-","중개거래","경남 진주시","-"
"62","충청남도 서산시 동문동","1000-4","1000","0004","코아루시티","14.2300","202201","31","5,000","-","3","-","-","2018","안견로 271","-","중개거래","충남 서산시","-"
"63","강원특별자치도 원주시 단구동","1588-1","1588","0001","현진에버빌2","59.7610","202201","31","13,500","-","1","-","-","2002","늘품로 38","-","직거래","-","-"
"64","충청남도 청양군 청양읍 읍내리","376-8","0376","0008","세아","49.9800","202201","31","8,000","-","2","-","-","1997","중앙로 80-1","-","직거래","-","-"
"65","경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.3100","202201","31","12,500","-","14","-","-","2002","중곡2로 89","-","중개거래","경남 거제시","-"
"66","강원특별자치도 원주시 명륜동","710","0710","0000","행운","41.3000","202201","30","9,300","-","8","-","-","1992","예술관길 32","-","중개거래","강원 원주시","-"
"67","전북특별자치도 전주시 덕진구 송천동1가","873","0873","0000","벽산e-리버파크","84.9879","202201","30","35,200","-","3","-","-","2013","송천3길 55","-","중개거래","전북 전주덕진구 전북 전주완산구","-"
"68","경상북도 경산시 삼풍동","500-1","0500","0001","태왕드림하이츠","59.9720","202201","30","16,300","-","10","-","-","2001","삼풍로 13-7","-","중개거래","경북 경산시","-"
"69","경상북도 경산시 옥곡동","832-1","0832","0001","부영두리마을(3단지)","59.9870","202201","30","15,400","-","1","-","-","2006","강변서로 17","-","중개거래","경북 경산시","-"
"70","전라남도 나주시 송월동","1142","1142","0000","양우내안애센텀시티아파트","59.9925","202201","30","18,500","-","9","-","-","2017","송월18길 10","-","중개거래","전남 나주시","-"
"71","경상남도 김해시 외동","1261-9","1261","0009","한국","49.3500","202201","30","14,000","-","3","-","-","1997","함박로 122","-","중개거래","경남 김해시","-"
"72","경상북도 영천시 야사동","120","0120","0000","야사주공3차단지","47.3100","202201","30","3,500","-","4","-","-","1991","충효로 147","-","직거래","-","-"
"73","경상남도 창원시 진해구 석동","232","0232","0000","진해자이","84.9407","202201","30","33,700","-","10","-","-","2006","동진로21번길 26","-","중개거래","경남 창원시 진해구","-"
"74","전라남도 해남군 해남읍 수성리","148","0148","0000","해성","73.3800","202201","30","4,900","-","5","-","-","1993","군청길 56","-","중개거래","전남 해남군","-"
"75","경상북도 포항시 북구 죽도동","20-117","0020","0117","송정한일맨션","83.7300","202201","30","9,100","-","15","-","-","1992","죽도로68번길 19","-","직거래","-","-"
"76","경상남도 김해시 부곡동","803-2","0803","0002","월산마을7단지주공4차","59.7300","202201","30","15,000","-","10","-","-","2004","월산로 119","-","중개거래","경남 김해시","-"
"77","전북특별자치도 전주시 완산구 서신동","961","0961","0000","동아한일","60.0000","202201","30","17,000","-","4","-","-","1999","새터로 95","-","중개거래","전북 전주완산구","-"
"78","전북특별자치도 전주시 덕진구 반월동","217-4","0217","0004","영무예다음","84.8240","202201","30","24,000","-","3","-","-","2006","반월4길 16","20220602","중개거래","전북 전주덕진구","-"
"79","경상남도 김해시 봉황동","126","0126","0000","그린","50.4000","202201","30","6,500","-","5","-","-","1986","가야의길 34","-","직거래","-","-"
"80","전라남도 순천시 해룡면 상삼리","691","0691","0000","청솔1","56.4000","202201","30","10,200","-","13","-","-","2001","장선배기길 284","-","중개거래","전남 순천시","-"
"81","경상북도 문경시 모전동","908","0908","0000","주공매봉마을(1단지)201-206동","59.4700","202201","30","13,900","-","9","-","-","1998","매봉1길 35","-","중개거래","경북 문경시","-"
"82","경상남도 거제시 장평동","1212-2","1212","0002","거제장평유림노르웨이숲","84.9922","202201","30","40,300","-","44","-","-","2017","장평1로 7","-","직거래","-","-"
"83","경상북도 상주시 무양동","318","0318","0000","상주무양태왕아너스","59.9216","202201","30","23,000","-","14","-","-","2021","동수4길 42-1","-","직거래","-","-"
"84","강원특별자치도 춘천시 퇴계동","917","0917","0000","한진,한성","84.8300","202201","30","18,300","-","12","-","-","1995","행촌로 11","-","중개거래","강원 춘천시","-"
"85","경상남도 김해시 어방동","577","0577","0000","어방화인아파트","59.8400","202201","30","10,100","-","14","-","-","1996","인제로 167-1","-","중개거래","경남 김해시","-"
"86","경상남도 김해시 동상동","495-7","0495","0007","한덕타워","59.7300","202201","30","9,700","-","5","-","-","1994","가야로515번길 7","-","중개거래","경남 김해시","-"
"87","전북특별자치도 전주시 완산구 효자동1가","451","0451","0000","삼성효자맨션","83.5600","202201","30","17,500","-","19","-","-","1997","거마평로 139","-","중개거래","전북 전주완산구","-"
"88","경상북도 구미시 임은동","822","0822","0000","구미임은삼도뷰엔빌W","76.7395","202201","30","24,900","-","12","-","-","2015","왕산로 28-12","-","중개거래","경북 구미시","-"
"89","경상남도 진주시 주약동","407-1","0407","0001","금호석류","84.8700","202201","30","24,300","-","13","-","-","1999","강남로 45","-","중개거래","경남 진주시","-"
"90","경상남도 김해시 동상동","495-7","0495","0007","한덕타워","59.7300","202201","30","9,700","-","15","-","-","1994","가야로515번길 7","-","중개거래","경남 김해시","-"
"91","경상북도 영천시 야사동","232","0232","0000","문화골든","84.8250","202201","30","8,300","-","6","-","-","1991","영천고1길 41","-","중개거래","경북 영천시","-"
"92","경상북도 경산시 옥곡동","831-1","0831","0001","부영조은마을(1단지)","84.9751","202201","30","18,700","-","15","-","-","2004","경산로 21","-","중개거래","경북 경산시","-"
"93","경상남도 창원시 진해구 남문동","1274-1","1274","0001","시티프라디움1차아파트","59.9808","202201","30","21,450","-","24","-","-","2017","웅천동로 16","-","중개거래","경남 창원진해구","-"
"94","경상북도 경산시 옥곡동","831-1","0831","0001","부영조은마을(1단지)","59.9870","202201","30","14,650","-","13","-","-","2004","경산로 21","-","중개거래","경북 경산시","-"
"95","전라남도 순천시 조례동","1668","1668","0000","주공4","35.2800","202201","30","6,100","-","2","-","-","1993","신월큰길 51","-","중개거래","전남 순천시","-"
"96","경상북도 구미시 구평동","429","0429","0000","부영2","80.9537","202201","30","15,900","-","9","-","-","2001","인동43길 22-42","-","중개거래","경북 구미시","-"
"97","경상남도 사천시 사남면 유천리","928","0928","0000","사천흥한에르가","84.9800","202201","30","24,000","-","13","-","-","2018","유천길 281","-","중개거래","경남 사천시","-"
"98","경상북도 경주시 충효동","2927","2927","0000","대우1차","84.9540","202201","30","14,250","-","2","-","-","1996","충효녹지길 142-9","-","중개거래","경북 경주시","-"
"99","전라남도 순천시 조곡동","68-61","0068","0061","금호타운","84.9350","202201","30","11,000","-","8","-","-","1993","자경3길 34","-","중개거래","전남 순천시","-"
"100","전라남도 목포시 옥암동","1144","1144","0000","부영애시앙1차","84.6499","202201","30","17,900","-","18","-","-","2007","당가두로13번길 9","-","중개거래","전남 목포시","-"
"101","경상북도 구미시 선산읍 노상리","48","0048","0000","선산주공","49.7100","202201","30","4,900","-","12","-","-","2000","선주로9길 23","-","중개거래","경북 구미시","-"
"102","강원특별자치도 삼척시 마달동","53-4","0053","0004","누가","27.1800","202201","30","1,950","-","5","-","-","1995","마달1길 75","-","직거래","-","-"
"103","충청남도 서산시 성연면 일람리","1089","1089","0000","서산테크노밸리고운라피네","67.2605","202201","30","19,000","-","19","-","-","2018","성연3로 57-30","-","중개거래","충남 서산시","-"
"104","강원특별자치도 춘천시 퇴계동","917","0917","0000","한진,한성","84.8300","202201","30","18,300","-","12","-","-","1995","행촌로 11","20220321","중개거래","강원 춘천시","-"
"105","강원특별자치도 홍천군 홍천읍 연봉리","468-1","0468","0001","청솔","59.8100","202201","30","12,000","-","12","-","-","2000","연봉서로 46","-","직거래","-","-"
"106","경상남도 창원시 진해구 남문동","1293-1","1293","0001","남문호반베르디움","71.9910","202201","30","27,500","-","6","-","-","2018","웅천동로43번길 19","-","중개거래","경남 창원진해구","-"
"107","강원특별자치도 삼척시 남양동","348-2","0348","0002","한흥3","48.5700","202201","30","5,300","-","5","-","-","1988","남양안길 76","-","중개거래","강원 삼척시","-"
"108","경상남도 진주시 정촌면 예하리","1286","1286","0000","진주정촌대경파미르","66.6161","202201","30","27,400","-","2","-","-","2019","삼일로106번길 8","-","중개거래","경남 진주시","-"
"109","강원특별자치도 춘천시 후평동","885-1","0885","0001","세경4차","50.4000","202201","30","11,800","-","2","-","-","1994","세실로 173","-","중개거래","강원 춘천시","-"
"110","경상북도 구미시 옥계동","540","0540","0000","동우대백타운","59.8500","202201","30","7,000","-","8","-","-","1994","흥안로 63","-","중개거래","경북 구미시","-"
"111","충청남도 당진시 송악읍 기지시리","504","0504","0000","힐스테이트당진2차","84.7848","202201","30","31,950","-","11","-","-","2018","틀모시로 737","-","중개거래","충남 당진시","-"
"112","전북특별자치도 전주시 덕진구 송천동2가","1298","1298","0000","에코시티KCC스위첸","84.9810","202201","30","57,000","-","16","-","-","2019","세병로 184","-","중개거래","전북 전주덕진구","-"
"113","제주특별자치도 서귀포시 서홍동","1593-1","1593","0001","서홍에이원시티빌","53.2700","202201","30","16,000","-","4","-","-","2016","홍중로 87","-","중개거래","제주 서귀포시","-"
"114","충청남도 아산시 탕정면 호산리","497","0497","0000","홍익","33.1500","202201","30","4,900","-","4","-","-","1999","선문로 385","-","중개거래","충남 아산시","-"
"115","경상남도 창원시 성산구 내동","452-14","0452","0014","월드메르디앙웨스턴애비뉴","59.9294","202201","30","22,600","-","13","-","-","2009","삼동로128번길 24","-","중개거래","경남 창원진해구","-"
"116","경상북도 포항시 북구 득량동","287-10","0287","0010","영진리더스","59.6523","202201","30","17,300","-","5","-","-","2016","새천년대로 549-10","-","직거래","-","-"
"117","경상남도 창원시 마산합포구 현동","700","0700","0000","중흥S클래스프라디움3차","84.9841","202201","30","41,500","-","23","-","-","2017","현동1길 8","-","중개거래","경남 창원마산합포구","-"
"118","경상북도 영천시 망정동","116","0116","0000","영천망정3주공","59.9900","202201","30","8,200","-","9","-","-","1998","동부로 14","-","중개거래","경북 영천시","-"
"119","경상남도 진주시 초전동","1673","1673","0000","이지더원","113.5880","202201","30","68,200","-","18","-","-","2018","초장로 120","-","중개거래","경남 진주시","-"
"120","광주광역시 광산구 운남동","800","0800","0000","우방아이유쉘","59.7699","202201","30","30,000","-","4","-","-","2015","임방울대로 154-24","-","중개거래","광주 광산구","-"
"121","충청남도 천안시 동남구 신부동","970","0970","0000","방죽안휴먼시아","84.7700","202201","30","39,000","-","16","-","-","2009","천안천8길 45","-","중개거래","충남 천안동남구","-"
"122","경기도 안산시 단원구 선부동","1085","1085","0000","공작한양(저층)","70.0025","202201","30","35,500","-","3","-","-","1992","선부로 166","-","중개거래","경기 안산단원구","-"
"123","울산광역시 남구 삼산동","1607-1","1607","0001","현대문화2차","59.7600","202201","30","17,000","-","11","-","-","1998","정동로6번길 18","-","중개거래","울산 남구","-"
"124","부산광역시 연제구 연산동","584-1","0584","0001","한성기린","164.4600","202201","30","59,000","-","5","-","-","1993","세병로 16","-","중개거래","부산 연제구","-"
"125","대전광역시 서구 갈마동","339-3","0339","0003","디안더블레스","49.9825","202201","30","18,700","-","11","-","-","2020","갈마로 39","20220402","중개거래","대전 서구","-"
"126","광주광역시 서구 금호동","805","0805","0000","남양파크","98.4500","202201","30","50,200","-","18","-","-","2000","화개1로78번길 13","-","중개거래","광주 서구","-"
"127","세종특별자치시  새롬동","614","0614","0000","새뜸마을12단지(금성백조예미지)","74.7054","202201","30","71,800","-","6","-","-","2017","새롬남로 102","-","중개거래","세종시 충북 제천시","-"
"128","부산광역시 북구 구포동","1293","1293","0000","유림노르웨이숲","84.9149","202201","30","24,500","-","20","-","-","2005","낙동북로 737","-","중개거래","부산 북구","-"
"129","충청남도 천안시 서북구 불당동","1492","1492","0000","불당파크푸르지오1단지","99.9938","202201","30","82,300","-","24","-","-","2018","불당26로 144","-","중개거래","충남 천안서북구","-"
"130","경기도 시흥시 정왕동","1629","1629","0000","무진","59.5800","202201","30","24,500","-","4","-","-","1996","중심상가로 350","-","중개거래","경기 시흥시","-"
"131","경기도 평택시 동삭동","852","0852","0000","평택센트럴자이3단지","59.5152","202201","30","44,000","-","2","-","-","2019","상서재로 55","-","중개거래","경기 평택시","-"
"132","충청북도 청주시 흥덕구 복대동","221-7","0221","0007","대원","59.8900","202201","30","17,500","-","6","-","-","1999","죽천로146번길 7","-","중개거래","충북 청주흥덕구","-"
"133","경기도 부천시 오정구 원종동","272-10","0272","0010","한울","59.6000","202201","30","33,300","-","7","-","-","2018","원종로 69","-","중개거래","경기 부천시 오정구","-"
"134","경기도 광주시 초월읍 도평리","259","0259","0000","대주피오레","104.5079","202201","30","40,000","-","4","-","-","2007","현산로 69","-","중개거래","경기 광주시","-"
"135","대전광역시 서구 도안동","965","0965","0000","금성백조예미지","84.9542","202201","30","63,000","-","11","-","-","2012","도안북로 125","-","직거래","-","-"
"136","서울특별시 금천구 시흥동","1013","1013","0000","관악산벽산타운5","59.3400","202201","30","60,000","-","8","-","-","2004","금하로 816","-","중개거래","서울 금천구","-"
"137","경기도 양주시 백석읍 복지리","290","0290","0000","동화(장미마을)","84.9400","202201","30","24,800","-","11","-","-","1999","꿈나무로 299","-","중개거래","경기 양주시","-"
"138","서울특별시 강북구 미아동","1356","1356","0000","경남아너스빌(1356-0)","114.9220","202201","30","89,000","-","12","-","-","2003","오패산로30길 30","-","직거래","-","-"
"139","대구광역시 달서구 파호동","89","0089","0000","삼성명가타운","84.9400","202201","30","34,800","-","6","-","-","2000","호산로 125","-","중개거래","대구 달서구","-"
"140","충청북도 청주시 흥덕구 오송읍 오송리","104","0104","0000","구림","63.4800","202201","30","19,477","-","3","-","-","1990","오송7길 12","-","중개거래","충북 청주흥덕구","-"
"141","경기도 양주시 백석읍 가업리","99-1","0099","0001","세아청솔3차","59.6700","202201","30","17,000","-","3","-","-","2001","꿈나무로 298","20220223","중개거래","경기 양주시","-"
"142","인천광역시 서구 왕길동","692-1","0692","0001","검단자이1단지","84.3410","202201","30","45,500","-","9","-","-","2010","버들로 27","-","중개거래","인천 서구","-"
"143","대전광역시 서구 갈마동","339-3","0339","0003","디안더블레스","49.9825","202201","30","18,700","-","11","-","-","2020","갈마로 39","-","중개거래","대전 서구","-"
"144","충청북도 청주시 서원구 모충동","94-7","0094","0007","덕일","82.9800","202201","30","10,000","-","2","-","-","1984","청남로2142번길 15","-","직거래","-","-"
"145","충청북도 제천시 장락동","1046","1046","0000","장락동롯데캐슬","118.1900","202201","30","38,000","-","12","-","-","2008","신죽하로 83-24","20220209","중개거래","충북 제천시","-"
"146","세종특별자치시  소담동","594","0594","0000","새샘마을2단지(한양수자인)","84.8974","202201","30","71,000","-","8","-","-","2016","남세종로 358","-","중개거래","대전 유성구 세종시","-"
"147","대구광역시 달서구 월성동","89","0089","0000","서한맨션","84.8100","202201","30","24,980","-","1","-","-","1992","학산로 15","-","중개거래","대구 달서구","-"
"148","충청북도 제천시 장락동","1046","1046","0000","장락동롯데캐슬","118.1900","202201","30","38,000","-","12","-","-","2008","신죽하로 83-24","-","중개거래","충북 제천시","-"
"149","대구광역시 달성군 유가읍 쌍계리","633","0633","0000","대구테크노폴리스중흥에스-클래스포디움","99.9819","202201","30","39,800","-","7","-","-","2018","테크노순환로 423","-","중개거래","대구 달성군, 대구 수성구","-"
"150","부산광역시 동구 초량동","1155","1155","0000","반도보라스카이뷰","84.7950","202201","30","42,000","-","14","-","-","2006","중앙대로320번길 10","-","직거래","-","-"
